Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,9.730000,9.730000,9.730000,9.730000,8.864634,0
2018-01-03,9.740000,9.740000,9.740000,9.740000,8.873745,0
2018-01-04,9.760000,9.760000,9.760000,9.760000,8.891964,0
2018-01-05,9.760000,9.760000,9.760000,9.760000,8.891964,0
2018-01-08,9.770000,9.770000,9.770000,9.770000,8.901075,0
2018-01-09,9.760000,9.760000,9.760000,9.760000,8.891964,0
2018-01-10,9.740000,9.740000,9.740000,9.740000,8.873745,0
2018-01-11,9.750000,9.750000,9.750000,9.750000,8.882854,0
2018-01-12,9.760000,9.760000,9.760000,9.760000,8.891964,0
2018-01-16,9.760000,9.760000,9.760000,9.760000,8.891964,0
2018-01-17,9.760000,9.760000,9.760000,9.760000,8.891964,0
2018-01-18,9.750000,9.750000,9.750000,9.750000,8.882854,0
2018-01-19,9.740000,9.740000,9.740000,9.740000,8.873745,0
2018-01-22,9.740000,9.740000,9.740000,9.740000,8.873745,0
2018-01-23,9.750000,9.750000,9.750000,9.750000,8.882854,0
2018-01-24,9.750000,9.750000,9.750000,9.750000,8.882854,0
2018-01-25,9.750000,9.750000,9.750000,9.750000,8.882854,0
2018-01-26,9.750000,9.750000,9.750000,9.750000,8.882854,0
2018-01-29,9.740000,9.740000,9.740000,9.740000,8.873745,0
2018-01-30,9.720000,9.720000,9.720000,9.720000,8.855521,0
2018-01-31,9.720000,9.720000,9.720000,9.720000,8.882939,0
2018-02-01,9.710000,9.710000,9.710000,9.710000,8.873799,0
2018-02-02,9.690000,9.690000,9.690000,9.690000,8.855521,0
2018-02-05,9.670000,9.670000,9.670000,9.670000,8.837244,0
2018-02-06,9.650000,9.650000,9.650000,9.650000,8.818968,0
2018-02-07,9.670000,9.670000,9.670000,9.670000,8.837244,0
2018-02-08,9.630000,9.630000,9.630000,9.630000,8.800689,0
2018-02-09,9.590000,9.590000,9.590000,9.590000,8.764133,0
2018-02-12,9.610000,9.610000,9.610000,9.610000,8.782410,0
2018-02-13,9.580000,9.580000,9.580000,9.580000,8.754994,0
2018-02-14,9.580000,9.580000,9.580000,9.580000,8.754994,0
2018-02-15,9.610000,9.610000,9.610000,9.610000,8.782410,0
2018-02-16,9.630000,9.630000,9.630000,9.630000,8.800689,0
2018-02-20,9.620000,9.620000,9.620000,9.620000,8.791551,0
2018-02-21,9.620000,9.620000,9.620000,9.620000,8.791551,0
2018-02-22,9.610000,9.610000,9.610000,9.610000,8.782410,0
2018-02-23,9.610000,9.610000,9.610000,9.610000,8.782410,0
2018-02-26,9.630000,9.630000,9.630000,9.630000,8.800689,0
2018-02-27,9.630000,9.630000,9.630000,9.630000,8.800689,0
2018-02-28,9.620000,9.620000,9.620000,9.620000,8.817186,0
2018-03-01,9.610000,9.610000,9.610000,9.610000,8.808021,0
2018-03-02,9.590000,9.590000,9.590000,9.590000,8.789691,0
2018-03-05,9.600000,9.600000,9.600000,9.600000,8.798855,0
2018-03-06,9.610000,9.610000,9.610000,9.610000,8.808021,0
2018-03-07,9.600000,9.600000,9.600000,9.600000,8.798855,0
2018-03-08,9.600000,9.600000,9.600000,9.600000,8.798855,0
2018-03-09,9.600000,9.600000,9.600000,9.600000,8.798855,0
2018-03-12,9.600000,9.600000,9.600000,9.600000,8.798855,0
2018-03-13,9.600000,9.600000,9.600000,9.600000,8.798855,0
2018-03-14,9.590000,9.590000,9.590000,9.590000,8.789691,0
2018-03-15,9.600000,9.600000,9.600000,9.600000,8.798855,0
2018-03-16,9.590000,9.590000,9.590000,9.590000,8.789691,0
2018-03-19,9.580000,9.580000,9.580000,9.580000,8.780525,0
2018-03-20,9.580000,9.580000,9.580000,9.580000,8.780525,0
2018-03-21,9.580000,9.580000,9.580000,9.580000,8.780525,0
2018-03-22,9.570000,9.570000,9.570000,9.570000,8.771360,0
2018-03-23,9.570000,9.570000,9.570000,9.570000,8.771360,0
2018-03-26,9.570000,9.570000,9.570000,9.570000,8.771360,0
2018-03-27,9.570000,9.570000,9.570000,9.570000,8.771360,0
2018-03-28,9.550000,9.550000,9.550000,9.550000,8.753028,0
2018-03-29,9.550000,9.550000,9.550000,9.550000,8.781534,0
2018-04-02,9.540000,9.540000,9.540000,9.540000,8.772338,0
2018-04-03,9.540000,9.540000,9.540000,9.540000,8.772338,0
2018-04-04,9.540000,9.540000,9.540000,9.540000,8.772338,0
2018-04-05,9.560000,9.560000,9.560000,9.560000,8.790730,0
2018-04-06,9.560000,9.560000,9.560000,9.560000,8.790730,0
2018-04-09,9.570000,9.570000,9.570000,9.570000,8.799925,0
2018-04-10,9.590000,9.590000,9.590000,9.590000,8.818316,0
2018-04-11,9.590000,9.590000,9.590000,9.590000,8.818316,0
2018-04-12,9.600000,9.600000,9.600000,9.600000,8.827512,0
2018-04-13,9.610000,9.610000,9.610000,9.610000,8.836708,0
2018-04-16,9.610000,9.610000,9.610000,9.610000,8.836708,0
2018-04-17,9.630000,9.630000,9.630000,9.630000,8.855097,0
2018-04-18,9.630000,9.630000,9.630000,9.630000,8.855097,0
2018-04-19,9.600000,9.600000,9.600000,9.600000,8.827512,0
2018-04-20,9.590000,9.590000,9.590000,9.590000,8.818316,0
2018-04-23,9.570000,9.570000,9.570000,9.570000,8.799925,0
2018-04-24,9.560000,9.560000,9.560000,9.560000,8.790730,0
2018-04-25,9.540000,9.540000,9.540000,9.540000,8.772338,0
2018-04-26,9.550000,9.550000,9.550000,9.550000,8.781534,0
2018-04-27,9.560000,9.560000,9.560000,9.560000,8.790730,0
2018-04-30,9.560000,9.560000,9.560000,9.560000,8.819328,0
2018-05-01,9.550000,9.550000,9.550000,9.550000,8.810102,0
2018-05-02,9.560000,9.560000,9.560000,9.560000,8.819328,0
2018-05-03,9.550000,9.550000,9.550000,9.550000,8.810102,0
2018-05-04,9.550000,9.550000,9.550000,9.550000,8.810102,0
2018-05-07,9.550000,9.550000,9.550000,9.550000,8.810102,0
2018-05-08,9.550000,9.550000,9.550000,9.550000,8.810102,0
2018-05-09,9.530000,9.530000,9.530000,9.530000,8.791649,0
2018-05-10,9.540000,9.540000,9.540000,9.540000,8.800877,0
2018-05-11,9.540000,9.540000,9.540000,9.540000,8.800877,0
2018-05-14,9.550000,9.550000,9.550000,9.550000,8.810102,0
2018-05-15,9.530000,9.530000,9.530000,9.530000,8.791649,0
2018-05-16,9.520000,9.520000,9.520000,9.520000,8.782428,0
2018-05-17,9.520000,9.520000,9.520000,9.520000,8.782428,0
2018-05-18,9.510000,9.510000,9.510000,9.510000,8.773202,0
2018-05-21,9.520000,9.520000,9.520000,9.520000,8.782428,0
2018-05-22,9.520000,9.520000,9.520000,9.520000,8.782428,0
2018-05-23,9.510000,9.510000,9.510000,9.510000,8.773202,0
2018-05-24,9.520000,9.520000,9.520000,9.520000,8.782428,0
2018-05-25,9.520000,9.520000,9.520000,9.520000,8.782428,0
2018-05-29,9.520000,9.520000,9.520000,9.520000,8.782428,0
2018-05-30,9.520000,9.520000,9.520000,9.520000,8.782428,0
2018-05-31,9.520000,9.520000,9.520000,9.520000,8.813905,0
2018-06-01,9.520000,9.520000,9.520000,9.520000,8.813905,0
2018-06-04,9.520000,9.520000,9.520000,9.520000,8.813905,0
2018-06-05,9.530000,9.530000,9.530000,9.530000,8.823160,0
2018-06-06,9.530000,9.530000,9.530000,9.530000,8.823160,0
2018-06-07,9.540000,9.540000,9.540000,9.540000,8.832425,0
2018-06-08,9.540000,9.540000,9.540000,9.540000,8.832425,0
2018-06-11,9.540000,9.540000,9.540000,9.540000,8.832425,0
2018-06-12,9.540000,9.540000,9.540000,9.540000,8.832425,0
2018-06-13,9.540000,9.540000,9.540000,9.540000,8.832425,0
2018-06-14,9.550000,9.550000,9.550000,9.550000,8.841681,0
2018-06-15,9.550000,9.550000,9.550000,9.550000,8.841681,0
2018-06-18,9.550000,9.550000,9.550000,9.550000,8.841681,0
2018-06-19,9.540000,9.540000,9.540000,9.540000,8.832425,0
2018-06-20,9.550000,9.550000,9.550000,9.550000,8.841681,0
2018-06-21,9.540000,9.540000,9.540000,9.540000,8.832425,0
2018-06-22,9.550000,9.550000,9.550000,9.550000,8.841681,0
2018-06-25,9.530000,9.530000,9.530000,9.530000,8.823160,0
2018-06-26,9.530000,9.530000,9.530000,9.530000,8.823160,0
2018-06-27,9.520000,9.520000,9.520000,9.520000,8.813905,0
2018-06-28,9.490000,9.490000,9.490000,9.490000,8.786130,0
2018-06-29,9.500000,9.500000,9.500000,9.500000,8.827011,0
2018-07-02,9.470000,9.470000,9.470000,9.470000,8.799137,0
2018-07-03,9.480000,9.480000,9.480000,9.480000,8.808428,0
2018-07-05,9.490000,9.490000,9.490000,9.490000,8.817720,0
2018-07-06,9.490000,9.490000,9.490000,9.490000,8.817720,0
2018-07-09,9.500000,9.500000,9.500000,9.500000,8.827011,0
2018-07-10,9.510000,9.510000,9.510000,9.510000,8.836306,0
2018-07-11,9.500000,9.500000,9.500000,9.500000,8.827011,0
2018-07-12,9.510000,9.510000,9.510000,9.510000,8.836306,0
2018-07-13,9.520000,9.520000,9.520000,9.520000,8.845595,0
2018-07-16,9.520000,9.520000,9.520000,9.520000,8.845595,0
2018-07-17,9.510000,9.510000,9.510000,9.510000,8.836306,0
2018-07-18,9.520000,9.520000,9.520000,9.520000,8.845595,0
2018-07-19,9.520000,9.520000,9.520000,9.520000,8.845595,0
2018-07-20,9.510000,9.510000,9.510000,9.510000,8.836306,0
2018-07-23,9.520000,9.520000,9.520000,9.520000,8.845595,0
2018-07-24,9.500000,9.500000,9.500000,9.500000,8.827011,0
2018-07-25,9.500000,9.500000,9.500000,9.500000,8.827011,0
2018-07-26,9.510000,9.510000,9.510000,9.510000,8.836306,0
2018-07-27,9.510000,9.510000,9.510000,9.510000,8.836306,0
2018-07-30,9.500000,9.500000,9.500000,9.500000,8.827011,0
2018-07-31,9.510000,9.510000,9.510000,9.510000,8.867107,0
2018-08-01,9.510000,9.510000,9.510000,9.510000,8.867107,0
2018-08-02,9.510000,9.510000,9.510000,9.510000,8.867107,0
2018-08-03,9.520000,9.520000,9.520000,9.520000,8.876431,0
2018-08-06,9.520000,9.520000,9.520000,9.520000,8.876431,0
2018-08-07,9.530000,9.530000,9.530000,9.530000,8.885755,0
2018-08-08,9.520000,9.520000,9.520000,9.520000,8.876431,0
2018-08-09,9.520000,9.520000,9.520000,9.520000,8.876431,0
2018-08-10,9.520000,9.520000,9.520000,9.520000,8.876431,0
2018-08-13,9.510000,9.510000,9.510000,9.510000,8.867107,0
2018-08-14,9.510000,9.510000,9.510000,9.510000,8.867107,0
2018-08-15,9.510000,9.510000,9.510000,9.510000,8.867107,0
2018-08-16,9.510000,9.510000,9.510000,9.510000,8.867107,0
2018-08-17,9.520000,9.520000,9.520000,9.520000,8.876431,0
2018-08-20,9.520000,9.520000,9.520000,9.520000,8.876431,0
2018-08-21,9.520000,9.520000,9.520000,9.520000,8.876431,0
2018-08-22,9.530000,9.530000,9.530000,9.530000,8.885755,0
2018-08-23,9.530000,9.530000,9.530000,9.530000,8.885755,0
2018-08-24,9.530000,9.530000,9.530000,9.530000,8.885755,0
2018-08-27,9.530000,9.530000,9.530000,9.530000,8.885755,0
2018-08-28,9.530000,9.530000,9.530000,9.530000,8.885755,0
2018-08-29,9.530000,9.530000,9.530000,9.530000,8.885755,0
2018-08-30,9.530000,9.530000,9.530000,9.530000,8.885755,0
2018-08-31,9.520000,9.520000,9.520000,9.520000,8.908213,0
2018-09-04,9.520000,9.520000,9.520000,9.520000,8.908213,0
2018-09-05,9.510000,9.510000,9.510000,9.510000,8.898855,0
2018-09-06,9.510000,9.510000,9.510000,9.510000,8.898855,0
2018-09-07,9.510000,9.510000,9.510000,9.510000,8.898855,0
2018-09-10,9.510000,9.510000,9.510000,9.510000,8.898855,0
2018-09-11,9.510000,9.510000,9.510000,9.510000,8.898855,0
2018-09-12,9.520000,9.520000,9.520000,9.520000,8.908213,0
2018-09-13,9.530000,9.530000,9.530000,9.530000,8.917569,0
