Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,72.190002,74.269997,71.720001,74.099998,68.524239,7905100
2018-01-03,74.050003,74.839996,73.330002,74.660004,69.042107,6640000
2018-01-04,75.000000,75.070000,73.559998,73.900002,68.339279,5074600
2018-01-05,74.169998,74.540001,73.029999,74.519997,68.912628,7901100
2018-01-08,74.339996,74.720001,73.440002,74.400002,68.801666,5858500
2018-01-09,74.610001,78.680000,74.570000,78.099998,72.223236,14824100
2018-01-10,78.099998,78.870003,77.010002,78.709999,72.787354,10150400
2018-01-11,78.699997,79.680000,77.870003,79.059998,73.111015,7872900
2018-01-12,79.339996,79.400002,78.650002,79.019997,73.074013,6366200
2018-01-16,79.750000,81.589996,79.519997,80.250000,74.211472,11750200
2018-01-17,80.709999,82.070000,80.209999,81.739998,75.589348,11162800
2018-01-18,81.470001,81.650002,80.769997,81.169998,75.062248,8527500
2018-01-19,81.300003,81.529999,80.370003,80.980003,74.886543,7920900
2018-01-22,81.309998,82.050003,81.050003,81.410004,75.284187,7464500
2018-01-23,81.230003,82.180000,80.910004,80.949997,74.858810,7198800
2018-01-24,81.290001,82.070000,80.580002,81.300003,75.182472,4530500
2018-01-25,81.580002,81.839996,80.849998,81.190002,75.080742,4708000
2018-01-26,81.959999,85.489998,81.879997,85.459999,79.029442,14617200
2018-01-29,85.120003,89.540001,85.120003,88.800003,82.118103,19411600
2018-01-30,88.019997,88.330002,86.269997,87.290001,80.721741,14001200
2018-01-31,86.599998,87.099998,83.290001,83.800003,77.494347,12790800
2018-02-01,83.199997,84.160004,81.180000,83.489998,77.207664,7305100
2018-02-02,82.650002,83.339996,81.480003,81.730003,75.580093,9356300
2018-02-05,81.400002,82.500000,78.339996,78.370003,72.472939,10810400
2018-02-06,77.349998,80.610001,76.900002,80.379997,74.331680,13287400
2018-02-07,79.669998,84.580002,79.349998,82.760002,76.532600,20315600
2018-02-08,82.440002,82.849998,78.070000,78.220001,72.334221,13853700
2018-02-09,78.900002,79.949997,76.019997,79.320000,73.351456,13746400
2018-02-12,79.769997,81.419998,79.629997,80.139999,74.109741,10030700
2018-02-13,79.570000,81.089996,78.650002,80.790001,74.710838,6596800
2018-02-14,80.199997,82.290001,79.980003,81.820000,75.663330,7063300
2018-02-15,82.220001,82.300003,81.489998,81.550003,75.413651,7159700
2018-02-16,81.449997,82.330002,80.610001,80.699997,74.627609,7548600
2018-02-20,80.209999,81.730003,80.209999,80.940002,74.849571,7229300
2018-02-21,80.900002,81.930000,80.300003,80.690002,74.618355,6956900
2018-02-22,80.730003,81.129997,79.180000,79.400002,73.425423,8382200
2018-02-23,79.820000,80.940002,79.290001,80.910004,74.821815,5626000
2018-02-26,81.260002,81.930000,80.199997,81.790001,75.635590,6394400
2018-02-27,81.779999,82.040001,80.300003,80.360001,74.313194,6748100
2018-02-28,80.489998,80.699997,78.690002,78.730003,72.805862,7559500
2018-03-01,78.940002,79.820000,77.029999,77.529999,71.696152,8267500
2018-03-02,76.839996,78.889999,76.400002,78.690002,72.768845,6625500
2018-03-05,78.220001,78.680000,77.139999,77.919998,72.056793,10483300
2018-03-06,78.599998,80.029999,78.470001,79.320000,73.351456,7919400
2018-03-07,78.739998,80.150002,78.120003,79.989998,73.971024,6715200
2018-03-08,79.959999,80.669998,79.320000,80.070000,74.045006,5707800
2018-03-09,80.500000,81.050003,79.989998,80.720001,74.646103,7024800
2018-03-12,80.930000,81.339996,80.419998,81.059998,74.960518,7515700
2018-03-13,81.129997,82.720001,81.120003,81.720001,75.570854,7608900
2018-03-14,82.050003,82.570000,80.889999,81.099998,74.997498,6527300
2018-03-15,80.559998,80.879997,79.269997,79.510002,74.047585,5946600
2018-03-16,79.919998,80.900002,79.400002,79.739998,74.261795,9564900
2018-03-19,79.309998,79.500000,76.300003,77.180000,71.877663,8917300
2018-03-20,77.379997,77.699997,76.709999,76.919998,71.635529,5798300
2018-03-21,76.739998,77.440002,76.209999,76.489998,71.235062,5826500
2018-03-22,75.849998,76.760002,75.040001,75.570000,70.378273,7861000
2018-03-23,75.379997,75.620003,72.730003,72.839996,67.835823,9268900
2018-03-26,74.169998,75.709999,73.570000,75.540001,70.350334,7370900
2018-03-27,75.980003,76.150002,73.550003,74.110001,69.018570,6370900
2018-03-28,74.190002,75.739998,73.900002,74.779999,69.642532,6487900
2018-03-29,75.139999,76.190002,74.610001,75.389999,70.210640,5694900
2018-04-02,74.930000,75.089996,71.870003,73.139999,68.115211,8234600
2018-04-03,73.440002,73.959999,72.029999,73.750000,68.683311,5987000
2018-04-04,72.949997,75.680000,72.809998,75.400002,70.219955,7852600
2018-04-05,75.930000,75.980003,74.180000,74.820000,69.679794,6183000
2018-04-06,74.279999,75.300003,72.709999,73.410004,68.366661,6439500
2018-04-09,73.879997,75.309998,73.150002,73.800003,68.729874,6383600
2018-04-10,74.570000,75.480003,73.790001,75.019997,69.866051,5738900
2018-04-11,74.690002,75.209999,74.209999,74.330002,69.223457,7850100
2018-04-12,74.830002,76.250000,74.830002,75.290001,70.117508,4857700
2018-04-13,75.559998,75.839996,74.860001,75.220001,70.052299,4432100
2018-04-16,75.870003,75.980003,74.239998,74.690002,69.558716,4720500
2018-04-17,74.949997,75.940002,74.589996,75.470001,70.285149,4351900
2018-04-18,75.639999,76.070000,75.250000,75.680000,70.480705,3043700
2018-04-19,75.419998,75.919998,73.830002,74.440002,69.325897,3958200
2018-04-20,74.400002,74.419998,73.180000,73.699997,68.636734,5201700
2018-04-23,74.080002,74.320000,73.349998,74.010002,68.925446,5014300
2018-04-24,74.080002,74.300003,72.260002,72.720001,67.724060,5562500
2018-04-25,72.790001,73.559998,72.470001,73.250000,68.217659,6335500
2018-04-26,73.279999,74.320000,72.089996,73.900002,68.822998,6341200
2018-04-27,73.910004,74.190002,73.099998,73.860001,68.785759,5030700
2018-04-30,74.059998,74.220001,72.169998,72.230003,67.267731,8268200
2018-05-01,72.290001,72.830002,71.779999,72.559998,67.575035,6180800
2018-05-02,68.260002,68.760002,66.019997,66.879997,62.285278,25822600
2018-05-03,66.599998,66.839996,64.269997,65.190002,60.711388,15060800
2018-05-04,65.080002,65.709999,64.709999,65.419998,60.925587,9150500
2018-05-07,65.709999,65.940002,64.430000,64.879997,60.422676,13201100
2018-05-08,64.989998,65.669998,64.540001,65.220001,60.739323,8973300
2018-05-09,64.970001,66.089996,64.629997,65.690002,61.177032,7861000
2018-05-10,66.010002,66.099998,65.209999,65.370003,60.879021,6614200
2018-05-11,65.220001,66.750000,64.839996,66.160004,61.614750,10014100
2018-05-14,66.360001,67.680000,66.190002,67.050003,62.443604,6173700
2018-05-15,66.800003,67.559998,66.639999,66.989998,62.387718,7483500
2018-05-16,67.000000,67.980003,67.000000,67.550003,62.909245,6603000
2018-05-17,67.099998,68.129997,67.099998,67.599998,62.955807,5946200
2018-05-18,67.589996,68.489998,67.339996,68.019997,63.346954,6336400
2018-05-21,68.150002,68.570000,67.250000,67.629997,62.983742,6006500
2018-05-22,67.970001,68.690002,67.510002,67.830002,63.170021,6210200
2018-05-23,67.360001,68.379997,67.349998,68.169998,63.486652,5093200
2018-05-24,68.040001,68.290001,67.080002,67.529999,62.890617,4892300
2018-05-25,67.650002,67.930000,67.000000,67.379997,62.750927,4864600
2018-05-29,67.000000,67.559998,66.709999,67.330002,62.704361,7820200
2018-05-30,67.660004,67.790001,67.309998,67.690002,63.039642,5931400
2018-05-31,68.099998,68.150002,67.209999,67.400002,62.769558,12447300
2018-06-01,67.620003,68.430000,67.519997,68.300003,63.607719,5128600
2018-06-04,68.190002,70.800003,67.949997,70.209999,65.386497,11726900
2018-06-05,70.250000,70.730003,69.269997,70.059998,65.246803,7821200
2018-06-06,70.169998,71.970001,69.690002,71.970001,67.025589,12376600
2018-06-07,71.879997,71.949997,71.099998,71.900002,66.960411,7604900
2018-06-08,71.449997,72.279999,71.349998,71.910004,66.969719,5843100
2018-06-11,71.790001,72.000000,71.110001,71.830002,66.895218,5425500
2018-06-12,71.760002,71.980003,70.989998,71.680000,66.755508,6977500
2018-06-13,71.900002,71.980003,71.000000,71.290001,66.392303,5077000
2018-06-14,71.000000,71.620003,70.510002,71.150002,66.795998,5226300
2018-06-15,71.099998,71.410004,69.910004,70.230003,65.932281,11518000
2018-06-18,69.769997,69.940002,68.919998,69.059998,64.833885,6565300
2018-06-19,68.459999,70.989998,68.160004,70.940002,66.598846,8634000
2018-06-20,70.959999,71.570000,70.349998,71.459999,67.087029,6010600
2018-06-21,71.470001,71.690002,70.779999,71.519997,67.143341,6548400
2018-06-22,71.690002,71.760002,70.830002,71.070000,66.720901,6118900
2018-06-25,70.720001,71.639999,70.550003,71.139999,66.786598,6019500
2018-06-26,71.260002,72.070000,69.709999,70.250000,65.951073,6538300
2018-06-27,70.339996,70.779999,68.599998,68.639999,64.439583,5818600
2018-06-28,69.849998,70.500000,69.080002,70.330002,66.026176,7977100
2018-06-29,70.480003,71.500000,70.290001,70.839996,66.504959,6215700
2018-07-02,70.699997,71.379997,70.300003,71.279999,66.918037,4086700
2018-07-03,71.400002,71.940002,71.099998,71.330002,66.964981,3147700
2018-07-05,71.339996,72.889999,71.290001,72.809998,68.354408,5755400
2018-07-06,73.199997,75.440002,73.000000,75.209999,70.607529,8859800
2018-07-09,75.449997,77.190002,75.209999,76.639999,71.950035,8546500
2018-07-10,77.029999,77.440002,76.239998,76.750000,72.053299,8380800
2018-07-11,76.500000,76.660004,75.690002,76.019997,71.367973,6138800
2018-07-12,76.559998,78.169998,75.930000,77.599998,72.851288,8955900
2018-07-13,77.400002,77.889999,77.040001,77.379997,72.644753,4031200
2018-07-16,77.580002,77.849998,76.730003,77.260002,72.532097,3093500
2018-07-17,77.110001,77.760002,76.930000,77.199997,72.475761,4424700
2018-07-18,77.089996,77.779999,76.820000,77.120003,72.400673,5186600
2018-07-19,76.989998,77.730003,76.080002,77.050003,72.334938,6488400
2018-07-20,76.360001,77.699997,76.360001,77.370003,72.635368,5656000
2018-07-23,77.089996,77.940002,76.959999,77.379997,72.644753,5119800
2018-07-24,77.750000,78.589996,77.400002,77.650002,72.898224,8686500
2018-07-25,77.470001,79.000000,77.290001,78.919998,74.090500,7968400
2018-07-26,77.769997,79.040001,76.099998,78.160004,73.377014,14492500
2018-07-27,78.129997,78.949997,76.629997,76.809998,72.109619,9455900
2018-07-30,76.470001,76.959999,75.839996,76.320000,71.649612,5720900
2018-07-31,76.589996,78.080002,76.190002,77.830002,73.067223,6615100
2018-08-01,77.500000,78.349998,77.379997,77.900002,73.132935,4246200
2018-08-02,77.690002,78.160004,76.860001,77.629997,72.879448,5629200
2018-08-03,77.680000,77.949997,77.169998,77.930000,73.161095,4628600
2018-08-06,77.839996,78.239998,77.260002,77.870003,73.104759,3955100
2018-08-07,77.940002,78.550003,77.519997,78.379997,73.583557,5759100
2018-08-08,78.190002,78.379997,76.830002,76.910004,72.203514,4400600
2018-08-09,77.029999,78.620003,76.919998,78.040001,73.264374,5835400
2018-08-10,77.519997,77.959999,76.300003,76.730003,72.034523,5564100
